id,category,intent,question,answer,keywords,language,source_url,last_reviewed,priority
zain-0039,delivery,coverage,Do you deliver throughout Pakistan?,Yes. The document says delivery is available to every city in Pakistan. Remote or rural delivery may require collection from the nearest courier pickup point.,"Pakistan,all cities,nationwide delivery,coverage,remote,rural,pickup point",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0040,delivery,coverage,Mere shehar delivery available hai?,Yes. The document says delivery is available to every city in Pakistan. Remote or rural delivery may require collection from the nearest courier pickup point.,"Pakistan,all cities,nationwide delivery,coverage,remote,rural,pickup point",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0041,delivery,courier,Which courier delivers the orders?,The documented courier service is Leopards Courier.,"Leopards Courier,courier,delivery company,parcel",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0042,delivery,courier,Parcel kis courier se aata hai?,The documented courier service is Leopards Courier.,"Leopards Courier,courier,delivery company,parcel",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0043,delivery,delivery_time,How long does delivery take?,"After order confirmation, the documented delivery time is 5–7 working days. The same estimate applies across Pakistan. It is an estimate, not a guaranteed arrival date.","delivery time,5-7 working days,after confirmation,arrival,all Pakistan,estimate",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0044,delivery,delivery_time,Parcel kitne din mein aye ga?,"After order confirmation, the documented delivery time is 5–7 working days. The same estimate applies across Pakistan. It is an estimate, not a guaranteed arrival date.","delivery time,5-7 working days,after confirmation,arrival,all Pakistan,estimate",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0045,delivery,delivery_delay_reason,Why does delivery take 5–7 days?,"The document attributes the 5–7-working-day delivery estimate to high daily order volume and the time needed to prepare and deliver orders properly. For a specific delayed order, the team must manually check it.","delay,5-7 days,high order volume,preparation,daily orders,manual check",en,Zain Bike Center Knowledge.docx,2026-08-01,medium
zain-0046,delivery,delivery_delay_reason,Why is my parcel taking time?,"The document attributes the 5–7-working-day delivery estimate to high daily order volume and the time needed to prepare and deliver orders properly. For a specific delayed order, the team must manually check it.","delay,5-7 days,high order volume,preparation,daily orders,manual check",en,Zain Bike Center Knowledge.docx,2026-08-01,medium
zain-0047,delivery,urgent_delivery,Is urgent or express delivery available?,No urgent-delivery service is documented. Do not promise delivery earlier than the stated 5–7 working days after confirmation.,"urgent delivery,express,same day,next day,faster,not available",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0048,delivery,urgent_delivery,Can you deliver sooner than 5 days?,No urgent-delivery service is documented. Do not promise delivery earlier than the stated 5–7 working days after confirmation.,"urgent delivery,express,same day,next day,faster,not available",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0049,delivery,bykea,Can you send my order through Bykea?,No. The document says Bykea service is not available. Customers may instead visit the physical shop to purchase.,"Bykea,rider,local delivery,not available,physical shop",en,Zain Bike Center Knowledge.docx,2026-08-01,medium
zain-0050,delivery,bykea,Is Bykea delivery available?,No. The document says Bykea service is not available. Customers may instead visit the physical shop to purchase.,"Bykea,rider,local delivery,not available,physical shop",en,Zain Bike Center Knowledge.docx,2026-08-01,medium
zain-0051,delivery,remote_area,How are remote or rural orders delivered?,"Customers in remote or rural areas may have to collect the parcel from the nearest courier pickup point. The document says that point is usually no more than 5 km away, but the actual pickup location must be confirmed by the courier or team.","remote,rural,village,pickup point,5 km,courier collection",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0052,delivery,remote_area,Will the courier deliver to my village?,"Customers in remote or rural areas may have to collect the parcel from the nearest courier pickup point. The document says that point is usually no more than 5 km away, but the actual pickup location must be confirmed by the courier or team.","remote,rural,village,pickup point,5 km,courier collection",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0053,delivery,open_parcel,Can I open the parcel before accepting it?,The document says opening the parcel before acceptance is not allowed. It recommends recording a continuous video while opening the parcel for your safety and for evidence of a missing or damaged item.,"open parcel,inspection,unboxing video,opening video,missing,damaged,evidence",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0054,delivery,open_parcel,Parcel open allowed hai?,The document says opening the parcel before acceptance is not allowed. It recommends recording a continuous video while opening the parcel for your safety and for evidence of a missing or damaged item.,"open parcel,inspection,unboxing video,opening video,missing,damaged,evidence",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0055,delivery,missing_damaged_refund,What if an item is missing or damaged?,"Record the parcel opening. If the opening video shows an item is missing or damaged, the document says the payment for that affected item can be refunded. The team must review the evidence and confirm the claim; the document does not define a deadline or wider return policy.","missing item,damaged,refund,opening video,unboxing,evidence,claim,affected item",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0056,delivery,missing_damaged_refund,Damaged product ka refund mil sakta hai?,"Record the parcel opening. If the opening video shows an item is missing or damaged, the document says the payment for that affected item can be refunded. The team must review the evidence and confirm the claim; the document does not define a deadline or wider return policy.","missing item,damaged,refund,opening video,unboxing,evidence,claim,affected item",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0057,delivery,tracking_request,How can I get my tracking ID?,"Provide the order name, phone number, complete address, and city through an official channel. The team will manually check and notify you with tracking information. Never invent a tracking ID.","tracking ID,tracking number,name,phone,address,city,manual check,notify",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0058,delivery,tracking_request,Tracking number chahiye.,"Provide the order name, phone number, complete address, and city through an official channel. The team will manually check and notify you with tracking information. Never invent a tracking ID.","tracking ID,tracking number,name,phone,address,city,manual check,notify",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0059,delivery,late_order_check,Why has my order not arrived?,"Provide the name, phone number, complete address, and city used for the order through an official channel. The team will manually check and contact you. The knowledge base cannot see live courier status or promise a revised arrival date.","not delivered,late parcel,where is order,name,number,address,city,live status,manual check",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0060,delivery,late_order_check,Where is my parcel?,"Provide the name, phone number, complete address, and city used for the order through an official channel. The team will manually check and contact you. The knowledge base cannot see live courier status or promise a revised arrival date.","not delivered,late parcel,where is order,name,number,address,city,live status,manual check",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0061,payment,delivery_charge_local,What is delivery charge in Rawalpindi or Islamabad?,"The area-wise rate in the document is Rs 300 for Rawalpindi and Islamabad, paid in advance. Confirm the destination before requesting payment.","Rawalpindi,Islamabad,delivery charge,Rs 300,300 rupees,advance",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0062,payment,delivery_charge_local,Rawalpindi delivery fee kitni hai?,"The area-wise rate in the document is Rs 300 for Rawalpindi and Islamabad, paid in advance. Confirm the destination before requesting payment.","Rawalpindi,Islamabad,delivery charge,Rs 300,300 rupees,advance",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0063,payment,delivery_charge_other_cities,What is delivery charge outside Rawalpindi and Islamabad?,"The documented delivery charge for every other city in Pakistan is Rs 350, paid in advance.","other city,Lahore,Karachi,Pakistan,delivery charge,Rs 350,350 rupees,advance",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0064,payment,delivery_charge_other_cities,Lahore or another city delivery charges?,"The documented delivery charge for every other city in Pakistan is Rs 350, paid in advance.","other city,Lahore,Karachi,Pakistan,delivery charge,Rs 350,350 rupees,advance",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0065,payment,delivery_charge_general,How much are delivery charges?,"The document gives an area-wise rate of Rs 300 for Rawalpindi/Islamabad and Rs 350 for every other city in Pakistan, payable in advance. Some product descriptions use Rs 350 as a general delivery figure; use the area-wise rate after confirming the destination, and ask the team if checkout or staff quotes a different amount.","delivery charges,shipping fee,Rs 300,Rs 350,area wise,destination,advance,conflict",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0066,payment,delivery_charge_general,Home delivery fee kya hai?,"The document gives an area-wise rate of Rs 300 for Rawalpindi/Islamabad and Rs 350 for every other city in Pakistan, payable in advance. Some product descriptions use Rs 350 as a general delivery figure; use the area-wise rate after confirming the destination, and ask the team if checkout or staff quotes a different amount.","delivery charges,shipping fee,Rs 300,Rs 350,area wise,destination,advance,conflict",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0067,payment,easypaisa,Where do I pay the delivery charge by Easypaisa?,"The document lists Easypaisa number 03016878322 with account name Zain Rauf. It also explicitly says Easypaisa is not registered on 03719453003. Verify that the displayed recipient name is Zain Rauf before sending, use only an official channel to reconfirm, and do not pay if any detail differs.","Easypaisa,03016878322,Zain Rauf,03719453003,account,recipient,advance delivery payment",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0068,payment,easypaisa,Easypaisa account details kya hain?,"The document lists Easypaisa number 03016878322 with account name Zain Rauf. It also explicitly says Easypaisa is not registered on 03719453003. Verify that the displayed recipient name is Zain Rauf before sending, use only an official channel to reconfirm, and do not pay if any detail differs.","Easypaisa,03016878322,Zain Rauf,03719453003,account,recipient,advance delivery payment",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0069,payment,wrong_easypaisa_number,Is 03719453003 your Easypaisa number?,No. The document explicitly says Easypaisa is not registered on 03719453003. The documented Easypaisa number is 03016878322 and the recipient name should appear as Zain Rauf. Reconfirm through an official channel before paying.,"03719453003,wrong number,not Easypaisa,03016878322,Zain Rauf,verify",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0070,payment,wrong_easypaisa_number,Can I send Easypaisa to 03719453003?,No. The document explicitly says Easypaisa is not registered on 03719453003. The documented Easypaisa number is 03016878322 and the recipient name should appear as Zain Rauf. Reconfirm through an official channel before paying.,"03719453003,wrong number,not Easypaisa,03016878322,Zain Rauf,verify",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0071,payment,jazzcash,Can I pay through JazzCash?,The document says JazzCash is available on 03016878322 and the recipient name appears as Iram Shehzadi. Reconfirm through an official channel and verify the displayed name before sending; do not pay if the details differ.,"JazzCash,03016878322,Iram Shehzadi,account,recipient,verify",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0072,payment,jazzcash,JazzCash account details kya hain?,The document says JazzCash is available on 03016878322 and the recipient name appears as Iram Shehzadi. Reconfirm through an official channel and verify the displayed name before sending; do not pay if the details differ.,"JazzCash,03016878322,Iram Shehzadi,account,recipient,verify",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0073,payment,payment_safety,What should I verify before making payment?,"Use only the payment number documented and reconfirmed through an official Zain Bike Center channel. Check the recipient name before sending: Zain Rauf for the documented Easypaisa account, or Iram Shehzadi for the documented JazzCash account. Never share an OTP, PIN, password, or full financial credentials, and do not pay if the number or name differs.","payment safety,verify recipient,Easypaisa,JazzCash,OTP,PIN,password,scam,wrong account",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0074,payment,payment_safety,How do I avoid sending payment to the wrong account?,"Use only the payment number documented and reconfirmed through an official Zain Bike Center channel. Check the recipient name before sending: Zain Rauf for the documented Easypaisa account, or Iram Shehzadi for the documented JazzCash account. Never share an OTP, PIN, password, or full financial credentials, and do not pay if the number or name differs.","payment safety,verify recipient,Easypaisa,JazzCash,OTP,PIN,password,scam,wrong account",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0075,business,fraud_assurance,Is Zain Bike Center a scam?,"The supplied document states that Zain Bike Center guarantees it will not commit fraud or scams and says it had provided services for five years when the document was written. This is the business's own statement, not independent verification. Protect yourself by using official channels, verifying payment details, and keeping transaction and unboxing evidence.","fraud,scam,trust,guarantee,five years,official channel,evidence,verification",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0076,business,fraud_assurance,How can I trust the order?,"The supplied document states that Zain Bike Center guarantees it will not commit fraud or scams and says it had provided services for five years when the document was written. This is the business's own statement, not independent verification. Protect yourself by using official channels, verifying payment details, and keeping transaction and unboxing evidence.","fraud,scam,trust,guarantee,five years,official channel,evidence,verification",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0077,deals,deal_overview,"Which Rs 1,000 deals are offered?","The document lists four deals, each priced at Rs 1,000: Detailing Deal, Glove Deal, Rubber Deal, and Lights Deal. The document provides itemized contents for the first three but does not provide the Lights Deal contents; ask the team for current Lights Deal details.","four deals,Rs 1000,Detailing Deal,Glove Deal,Rubber Deal,Lights Deal,package",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0078,deals,deal_overview,What deals does Zain Bike Center have?,"The document lists four deals, each priced at Rs 1,000: Detailing Deal, Glove Deal, Rubber Deal, and Lights Deal. The document provides itemized contents for the first three but does not provide the Lights Deal contents; ask the team for current Lights Deal details.","four deals,Rs 1000,Detailing Deal,Glove Deal,Rubber Deal,Lights Deal,package",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0079,deals,recommend_deals,Which products are customers most interested in?,"The document says customers are most interested in the deals. Present the documented Detailing, Glove, Rubber, and Lights deals, but do not claim one is best or currently in stock without checking. Ask what the customer needs and provide the relevant documented contents.","popular,deals,recommend,suggest,customer interest,Detailing,Glove,Rubber,Lights",en,Zain Bike Center Knowledge.docx,2026-08-01,medium
zain-0080,deals,recommend_deals,Can you suggest a popular offer?,"The document says customers are most interested in the deals. Present the documented Detailing, Glove, Rubber, and Lights deals, but do not claim one is best or currently in stock without checking. Ask what the customer needs and provide the relevant documented contents.","popular,deals,recommend,suggest,customer interest,Detailing,Glove,Rubber,Lights",en,Zain Bike Center Knowledge.docx,2026-08-01,medium
zain-0081,deals,lights_deal_unknown_contents,What comes in the Lights Deal?,"The document names a Lights Deal at Rs 1,000 but does not list its contents. Ask a human team member to confirm its current contents and availability; do not infer them from the separate remote-flashers information.","Lights Deal,contents,items,Rs 1000,unknown,human agent,availability",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0082,deals,lights_deal_unknown_contents,Tell me the Lights Deal items.,"The document names a Lights Deal at Rs 1,000 but does not list its contents. Ask a human team member to confirm its current contents and availability; do not infer them from the separate remote-flashers information.","Lights Deal,contents,items,Rs 1000,unknown,human agent,availability",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0083,detailing_deal,detailing_price,What is the Detailing Deal price?,"One Detailing Deal costs Rs 1,000. Two Detailing Deals cost Rs 2,000. Delivery is separate: use Rs 300 for Rawalpindi/Islamabad or Rs 350 for other Pakistani cities according to the area-wise rule.","Detailing Deal,price,Rs 1000,two deals,Rs 2000,delivery separate",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0084,detailing_deal,detailing_price,Detailing package kitne ka hai?,"One Detailing Deal costs Rs 1,000. Two Detailing Deals cost Rs 2,000. Delivery is separate: use Rs 300 for Rawalpindi/Islamabad or Rs 350 for other Pakistani cities according to the area-wise rule.","Detailing Deal,price,Rs 1000,two deals,Rs 2000,delivery separate",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0085,detailing_deal,detailing_contents,What is included in the Detailing Deal?,"The document says the Detailing Deal contains 12 counted items: Luster, Tyre Glow, Engine Cleaner, Klink Polish, Foam, three shampoos, Rust Powder, Compound, Brush, and Microfibre Towel. The three shampoo units make the count total 12.","Detailing Deal,12 items,Luster,Tyre Glow,Engine Cleaner,Klink Polish,Foam,Shampoo,Rust Powder,Compound,Brush,Microfibre Towel",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0086,detailing_deal,detailing_contents,Detailing Deal mein kya milta hai?,"The document says the Detailing Deal contains 12 counted items: Luster, Tyre Glow, Engine Cleaner, Klink Polish, Foam, three shampoos, Rust Powder, Compound, Brush, and Microfibre Towel. The three shampoo units make the count total 12.","Detailing Deal,12 items,Luster,Tyre Glow,Engine Cleaner,Klink Polish,Foam,Shampoo,Rust Powder,Compound,Brush,Microfibre Towel",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0087,detailing_deal,detailing_quantity,How many items are in the Detailing Deal?,"It has 12 counted items. The document lists 10 product types, with shampoo supplied as three units; counting those three separately produces 12 items.","12 items,10 product types,three shampoos,Detailing Deal,quantity,count",en,Zain Bike Center Knowledge.docx,2026-08-01,medium
zain-0088,detailing_deal,detailing_quantity,Does the Detailing Deal really have 12 items?,"It has 12 counted items. The document lists 10 product types, with shampoo supplied as three units; counting those three separately produces 12 items.","12 items,10 product types,three shampoos,Detailing Deal,quantity,count",en,Zain Bike Center Knowledge.docx,2026-08-01,medium
zain-0089,detailing_deal,detailing_add_shampoo,Can I add shampoo to the Detailing Deal?,"Yes. The document says a Detailing Deal plus one shampoo costs Rs 1,200 before delivery. Add the applicable one-time delivery charge for the destination.","Detailing Deal,add shampoo,extra shampoo,Rs 1200,delivery separate",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0090,detailing_deal,detailing_add_shampoo,Detailing Deal with extra shampoo price?,"Yes. The document says a Detailing Deal plus one shampoo costs Rs 1,200 before delivery. Add the applicable one-time delivery charge for the destination.","Detailing Deal,add shampoo,extra shampoo,Rs 1200,delivery separate",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0091,products,shampoo,What is the shampoo price and size?,The documented shampoo price is Rs 200 and the quantity is 200 ml.,"shampoo,Rs 200,200 ml,price,quantity,size",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0092,products,shampoo,Bike shampoo kitne ml ka hai?,The documented shampoo price is Rs 200 and the quantity is 200 ml.,"shampoo,Rs 200,200 ml,price,quantity,size",en,Zain Bike Center Knowledge.docx,2026-08-01,high
zain-0093,products,nozzle,How much is the nozzle?,"The documented nozzle price is Rs 1,000. The same product may be called a nozzle, bike-wash nozzle, or pressure nozzle.","nozzle,bike wash nozzle,pressure nozzle,Rs 1000,price,alias",en,Zain Bike Center Knowledge.docx,2026-08-01,high
